TREW (6) Wet,TREW (6) Dry,TREW (6) Air
2253,3572,9667
2113,4116,7239
2024,3368,8823
1925,4321,8558
1789,3761,8065
2335,4519,8378
2256,3569,8955
2111,4162,6684
2206,3364,9990
2146,4304,6760
2012,3821,9417
2193,4052,7713
1925,4278,8091
2226,3598,10114
1992,3332,6776
2318,4404,9264
2192,4171,6886
2215,4065,9099
2288,3850,7017
2282,4227,8938
2185,3479,7904
1994,4197,6559
2192,3745,9688
2078,4185,7359
2070,3688,8674
2125,3686,9590
2239,3320,9371
2367,4456,7222
1916,3961,6893
2274,4079,9548
1967,4344,9335
2170,3830,9225
2153,4402,9484
1944,3761,8405
2333,4006,8074
2080,3973,9373
1977,3678,6921
2169,4208,9388
1912,4365,9270
2202,3432,9313
2053,4188,9386
2147,4313,7730
2229,3815,6875
1977,3359,9255
1801,3994,9161
2259,4299,6718
1784,3777,9126
2281,3594,6980
1788,3785,9056
2270,4023,7790
1766,4226,7711
2265,3702,8610
2339,3744,9288
1730,3682,8562
2309,3907,8946
1699,4354,7835
1925,3831,8486
2216,3429,8368
2192,3233,6786
2170,4714,8718
1738,3534,6620
2242,4277,9184
2217,3289,6725
2249,4402,8817
2327,3561,8022
2303,4283,9651
2036,3343,9084
1838,4459,6000
2334,3301,6757
1739,4447,9128
2383,3871,6811
1721,4541,9000
2365,3652,7406
2345,4379,8994
1788,4403,6615
2295,3646,8917
1927,4106,6582
2223,3395,9388
1709,4411,9320
2383,3377,6733
2262,4617,9213
1946,4065,7958
2270,3666,8931
1938,4303,6560
1772,3861,9290
2321,4075,7653
2314,3693,8614
1968,3339,7760
1859,4584,8169
2272,3520,9508
2027,4371,8038
2181,3474,9349
1981,4301,7451
1833,4586,7618
2263,3322,9776
1963,4580,7878
2239,3462,8907
2064,4324,7698
1991,3795,7959
2032,4195,7809
2022,3384,7445
2311,4180,9407
1827,4627,9040
2260,4790,6957
2221,4234,9049
1739,3810,7108
2358,4086,8271
2335,3626,7870
2285,3912,7688
1779,4569,9378
2276,4367,6231
