Date and Time,Field,Sensor ID,Value 1,Value 2
2022-03-31 23:55:48,Stevinson Almond,TREW 4,1080,2608
2022-03-31 23:45:31,Stevinson Almond,TREW 4,1080,2729
2022-03-31 23:35:25,Stevinson Almond,TREW 4,1084,2340
2022-03-31 23:25:13,Stevinson Almond,TREW 4,1082,2594
2022-03-31 23:14:59,Stevinson Almond,TREW 4,1084,2420
2022-03-31 23:04:50,Stevinson Almond,TREW 4,1083,2601
2022-03-31 22:54:43,Stevinson Almond,TREW 4,1087,2199
2022-03-31 22:44:29,Stevinson Almond,TREW 4,1087,2237
2022-03-31 22:34:19,Stevinson Almond,TREW 4,1085,2585
2022-03-31 22:24:15,Stevinson Almond,TREW 4,1086,2526
2022-03-31 22:03:48,Stevinson Almond,TREW 4,1088,2430
2022-03-31 21:53:38,Stevinson Almond,TREW 4,1087,2588
2022-03-31 21:23:05,Stevinson Almond,TREW 4,1092,2285
2022-03-31 21:12:56,Stevinson Almond,TREW 4,1089,2733
2022-03-31 20:52:41,Stevinson Almond,TREW 4,1091,2580
2022-03-31 20:42:24,Stevinson Almond,TREW 4,1094,2301
2022-03-31 20:32:18,Stevinson Almond,TREW 4,1092,2636
2022-03-31 20:11:53,Stevinson Almond,TREW 4,1093,2656
2022-03-31 20:01:43,Stevinson Almond,TREW 4,1096,2393
2022-03-31 19:51:33,Stevinson Almond,TREW 4,1095,2580
2022-03-31 19:41:22,Stevinson Almond,TREW 4,1100,2135
2022-03-31 19:31:12,Stevinson Almond,TREW 4,1096,2698
2022-03-31 19:21:01,Stevinson Almond,TREW 4,1101,2147
2022-03-31 19:10:56,Stevinson Almond,TREW 4,1097,2722
2022-03-31 19:00:43,Stevinson Almond,TREW 4,1099,2472
2022-03-31 18:40:25,Stevinson Almond,TREW 4,1100,2459
2022-03-31 18:30:17,Stevinson Almond,TREW 4,1099,2664
2022-03-31 18:20:03,Stevinson Almond,TREW 4,1105,1993
2022-03-31 18:09:48,Stevinson Almond,TREW 4,1099,2763
2022-03-31 17:59:43,Stevinson Almond,TREW 4,1102,2366
2022-03-31 17:39:15,Stevinson Almond,TREW 4,1105,2090
2022-03-31 17:29:05,Stevinson Almond,TREW 4,1100,2639
2022-03-31 17:18:57,Stevinson Almond,TREW 4,1103,2281
2022-03-31 17:08:43,Stevinson Almond,TREW 4,1100,2621
2022-03-31 16:58:33,Stevinson Almond,TREW 4,1102,2325
2022-03-31 16:48:23,Stevinson Almond,TREW 4,1102,2321
2022-03-31 16:38:12,Stevinson Almond,TREW 4,1099,2727
2022-03-31 16:28:00,Stevinson Almond,TREW 4,1099,2557
2022-03-31 16:17:49,Stevinson Almond,TREW 4,1099,2593
2022-03-31 15:57:26,Stevinson Almond,TREW 4,1100,2371
2022-03-31 15:37:06,Stevinson Almond,TREW 4,1100,2300
2022-03-31 15:26:58,Stevinson Almond,TREW 4,1102,2069
2022-03-31 15:06:41,Stevinson Almond,TREW 4,1099,2236
2022-03-31 14:56:25,Stevinson Almond,TREW 4,1101,2014
2022-03-31 14:46:14,Stevinson Almond,TREW 4,1095,2628
2022-03-31 14:25:52,Stevinson Almond,TREW 4,1100,2014
2022-03-31 14:15:43,Stevinson Almond,TREW 4,1094,2676
2022-03-31 13:45:10,Stevinson Almond,TREW 4,1099,1958
2022-03-31 13:35:04,Stevinson Almond,TREW 4,1091,2679
2022-03-31 13:24:53,Stevinson Almond,TREW 4,1092,2381
2022-03-31 13:14:43,Stevinson Almond,TREW 4,1095,2042
2022-03-31 13:04:28,Stevinson Almond,TREW 4,1087,2723
2022-03-31 12:54:17,Stevinson Almond,TREW 4,1090,2135
2022-03-31 12:34:03,Stevinson Almond,TREW 4,1085,2208
2022-03-31 12:23:48,Stevinson Almond,TREW 4,1081,2381
2022-03-31 12:13:42,Stevinson Almond,TREW 4,1077,2565
2022-03-31 12:03:27,Stevinson Almond,TREW 4,1074,2680
2022-03-31 11:53:18,Stevinson Almond,TREW 4,1079,2059
2022-03-31 11:43:03,Stevinson Almond,TREW 4,1071,2593
2022-03-31 11:32:52,Stevinson Almond,TREW 4,1071,2432
2022-03-31 11:22:45,Stevinson Almond,TREW 4,1069,2423
2022-03-31 11:12:29,Stevinson Almond,TREW 4,1066,2517
2022-03-31 11:02:18,Stevinson Almond,TREW 4,1070,2116
2022-03-31 10:52:08,Stevinson Almond,TREW 4,1063,2645
2022-03-31 10:31:46,Stevinson Almond,TREW 4,1061,2750
2022-03-31 10:21:35,Stevinson Almond,TREW 4,1065,2324
2022-03-31 10:01:18,Stevinson Almond,TREW 4,1064,2375
2022-03-31 09:51:04,Stevinson Almond,TREW 4,1063,2539
2022-03-31 09:40:54,Stevinson Almond,TREW 4,1064,2445
2022-03-31 09:30:48,Stevinson Almond,TREW 4,1063,2474
2022-03-31 09:20:34,Stevinson Almond,TREW 4,1064,2363
2022-03-31 09:10:29,Stevinson Almond,TREW 4,1062,2499
2022-03-31 09:00:13,Stevinson Almond,TREW 4,1061,2530
2022-03-31 08:39:53,Stevinson Almond,TREW 4,1065,2117
