Date and Time,Field,Temperature [℃],Humidity [RH%],Pressure [hPa],Altitude [m],VOC [kΩ]
2022-05-31 23:47:32,Stevinson Almond,15.06,76.84,1010.05,65.59,44.59
2022-05-31 23:33:18,Stevinson Almond,15.41,76.69,1009.88,67.01,43.26
2022-05-31 23:18:34,Stevinson Almond,15.79,73.88,1009.82,67.51,46.63
2022-05-31 23:04:22,Stevinson Almond,16.04,71.57,1009.86,67.18,46.37
2022-05-31 22:49:55,Stevinson Almond,16.52,69.05,1009.82,67.43,47.26
2022-05-31 22:35:37,Stevinson Almond,16.85,69,1009.71,68.43,48.85
2022-05-31 22:20:46,Stevinson Almond,17.14,62.38,1009.64,69.01,55.67
2022-05-31 22:06:19,Stevinson Almond,17.52,60.73,1009.55,69.76,57.08
2022-05-31 21:52:15,Stevinson Almond,17.88,58.36,1009.44,70.68,56.92
2022-05-31 21:22:59,Stevinson Almond,19.17,53.26,1009.18,72.77,58.88
2022-05-31 21:09:00,Stevinson Almond,19.88,54.82,1009.06,73.85,54.27
2022-05-31 20:54:02,Stevinson Almond,20.4,48.07,1008.93,74.94,62.21
2022-05-31 20:39:38,Stevinson Almond,20.62,51.77,1008.85,75.52,55.82
2022-05-31 20:25:23,Stevinson Almond,21.3,51.95,1008.64,77.36,55.78
2022-05-31 20:11:09,Stevinson Almond,22.49,47.44,1008.54,78.19,61.93
2022-05-31 19:56:10,Stevinson Almond,23.94,39.98,1008.43,79.2,70.96
2022-05-31 19:41:44,Stevinson Almond,25.78,32.42,1008.35,79.78,85.26
2022-05-31 19:27:12,Stevinson Almond,26.97,26.04,1008.2,81.03,96.65
2022-05-31 19:12:41,Stevinson Almond,27.8,23.68,1008.17,81.28,100.18
2022-05-31 18:58:11,Stevinson Almond,28.31,21.66,1008.15,81.45,104.1
2022-05-31 18:43:49,Stevinson Almond,28.87,23.37,1008.18,81.2,99.7
2022-05-31 18:29:18,Stevinson Almond,29.41,21.46,1008.2,81.12,102.82
2022-05-31 18:15:00,Stevinson Almond,29.56,20.27,1008.25,80.7,109.76
2022-05-31 18:00:12,Stevinson Almond,29.93,20.44,1008.33,80.03,96.04
2022-05-31 17:45:53,Stevinson Almond,30.47,21.53,1008.39,79.45,94.07
2022-05-31 17:31:08,Stevinson Almond,30.64,21.02,1008.41,79.36,92.72
2022-05-31 17:17:27,Stevinson Almond,30.52,21.58,1008.5,78.53,103.52
2022-05-31 17:02:10,Stevinson Almond,30.82,20.22,1008.59,77.78,91.4
2022-05-31 16:48:07,Stevinson Almond,31.01,19.41,1008.72,76.61,99.46
2022-05-31 16:33:43,Stevinson Almond,31.48,20.58,1008.71,76.77,98.24
2022-05-31 16:18:56,Stevinson Almond,31.02,19.93,1008.69,76.94,92.92
2022-05-31 16:04:02,Stevinson Almond,31.2,21.34,1008.74,76.69,78.4
2022-05-31 15:49:30,Stevinson Almond,31.5,19.93,1008.81,76.02,80.89
2022-05-31 15:35:17,Stevinson Almond,31.55,21.27,1008.81,75.86,82.49
2022-05-31 15:20:28,Stevinson Almond,31.61,19.55,1008.9,75.27,79.74
2022-05-31 15:06:47,Stevinson Almond,32.17,20.13,1008.96,74.6,84.83
2022-05-31 14:51:25,Stevinson Almond,32.22,20.77,1009.07,73.94,73.13
2022-05-31 14:37:11,Stevinson Almond,32.04,21.96,1009.15,73.1,73.32
2022-05-31 14:22:23,Stevinson Almond,32.16,20.84,1009.22,72.52,72.87
2022-05-31 14:07:52,Stevinson Almond,31.78,20.61,1009.23,72.52,73.19
2022-05-31 13:53:23,Stevinson Almond,31.37,22.46,1009.23,72.35,73.19
2022-05-31 13:38:49,Stevinson Almond,31.11,24.86,1009.35,71.1,69.37
2022-05-31 13:25:03,Stevinson Almond,30.83,23.61,1009.49,70.43,86.4
2022-05-31 13:10:18,Stevinson Almond,30.32,26.59,1009.56,69.76,74.96
2022-05-31 12:55:52,Stevinson Almond,30.31,25.36,1009.61,69.26,78.32
2022-05-31 12:40:46,Stevinson Almond,29.4,26.63,1009.74,68.01,71.69
2022-05-31 12:26:16,Stevinson Almond,29.27,26.68,1009.72,68.34,75.5
2022-05-31 12:12:32,Stevinson Almond,29.13,27.49,1009.87,67.01,84.57
2022-05-31 11:57:18,Stevinson Almond,28.41,28.26,1009.84,67.51,78.18
2022-05-31 11:43:31,Stevinson Almond,27.42,31.44,1010.06,65.68,82.65
2022-05-31 11:28:33,Stevinson Almond,26.94,32.14,1010.16,64.68,79.74
2022-05-31 11:14:01,Stevinson Almond,26.03,34.33,1010.15,64.59,76.39
2022-05-31 10:59:20,Stevinson Almond,25.8,34.33,1010.17,64.59,74.49
2022-05-31 10:44:48,Stevinson Almond,25.4,36.89,1010.18,64.51,73.71
2022-05-31 10:30:33,Stevinson Almond,24.75,38.16,1010.15,64.76,77.17
2022-05-31 10:15:51,Stevinson Almond,24.15,35.63,1010.39,63.09,86.94
2022-05-31 10:02:06,Stevinson Almond,23.43,37,1010.2,64.51,92.11
2022-05-31 09:47:19,Stevinson Almond,23.2,38.53,1010.21,64.34,87.85
2022-05-31 09:32:47,Stevinson Almond,22.56,36.66,1010.2,64.26,93.03
2022-05-31 09:18:04,Stevinson Almond,22.15,36.79,1010.25,64.01,92.61
2022-05-31 09:03:28,Stevinson Almond,21.66,39.08,1010.22,64.18,90.32
2022-05-31 08:50:08,Stevinson Almond,21.37,39.72,1010.26,63.76,94.74
2022-05-31 08:34:33,Stevinson Almond,21.13,38.11,1010.16,64.68,92.61
2022-05-31 08:20:12,Stevinson Almond,20.56,40.82,1009.99,66.26,88.79
2022-05-31 08:05:37,Stevinson Almond,19.51,46.09,1009.87,67.18,83.23
2022-05-31 07:51:15,Stevinson Almond,19.32,45.23,1009.85,67.43,84.32
2022-05-31 07:36:43,Stevinson Almond,18.76,49.5,1009.76,68.01,82.9
2022-05-31 07:22:16,Stevinson Almond,17.61,52.78,1009.62,69.18,84.74
2022-05-31 07:08:06,Stevinson Almond,15.59,60.59,1009.62,69.18,80.74
2022-05-31 06:53:59,Stevinson Almond,11.86,78.64,1009.58,69.43,64.66
2022-05-31 06:38:58,Stevinson Almond,10,93.36,1009.59,69.43,57.39
2022-05-31 06:24:40,Stevinson Almond,9.62,90.71,1009.51,70.1,59.17
2022-05-31 06:10:07,Stevinson Almond,9.69,89.55,1009.5,70.18,61.61
2022-05-31 05:55:47,Stevinson Almond,9.84,88.76,1009.39,71.18,60.68
2022-05-31 05:41:16,Stevinson Almond,10.06,87.23,1009.27,72.1,62.91
2022-05-31 05:27:16,Stevinson Almond,10.31,86.84,1009.16,73.1,58.72
2022-05-31 05:12:32,Stevinson Almond,10.82,85.95,1009.06,73.85,61.34
2022-05-31 04:58:00,Stevinson Almond,11.39,82.92,1009.11,73.35,65.98
2022-05-31 04:44:16,Stevinson Almond,11.75,80.6,1009.19,72.85,64.91
2022-05-31 04:29:09,Stevinson Almond,12.46,77.68,1009.31,71.85,72.31
2022-05-31 04:15:04,Stevinson Almond,12.71,74.91,1009.22,72.52,71.38
2022-05-31 04:00:24,Stevinson Almond,12.43,76.61,1009.25,72.35,70.9
2022-05-31 03:46:16,Stevinson Almond,10.98,85.74,1009.23,72.35,61.03
2022-05-31 03:31:26,Stevinson Almond,10.28,91.45,1009.31,71.85,57.83
2022-05-31 03:17:01,Stevinson Almond,10.44,89.7,1009.21,72.6,58.31
2022-05-31 03:03:25,Stevinson Almond,10.54,89.75,1009.17,72.93,52.3
2022-05-31 02:48:10,Stevinson Almond,10.69,88.91,1009.24,72.35,57.91
2022-05-31 02:34:09,Stevinson Almond,10.76,88.62,1009.24,72.35,53.95
2022-05-31 02:19:28,Stevinson Almond,10.93,87.96,1009.12,73.27,55.86
2022-05-31 01:50:48,Stevinson Almond,11.48,85,1009.16,73.02,56.77
2022-05-31 01:36:02,Stevinson Almond,11.84,83.37,1009.08,73.69,59.01
